"Name","City","State","Access","Count","Latitude","Longitude","Wall","Proshop","Indoor","Lights","Surface"
"Winter Springs High School","Orlando","FL","Public",6,28.7051182,-81.2679183,"No","No","No","No","Hard"
"Semoran Club","Orlando","FL","Private",1,28.5710392,-81.3120246,"No","No","No","Yes","Hard"
"Lakeview Park","Milwaukee","WI","Public",3,42.7470042,-87.784441,"No","No","No","No","Hard"
"Candlewood Suites City Centre","Indianapolis","IN","Private",2,39.7830808,-86.1921322,"No","No","No","No","Hard"
"South Bend Park","Atlanta","GA","Public",2,33.7008144,-84.3842161,"Yes","No","No","Yes","Hard"
"Brookstone 1","Atlanta","GA","Private",4,34.002101,-84.7151685,"No","No","No","Yes","Hard"
"Heritage Crest","Atlanta","GA","Private",2,34.0865734,-83.9796531,"No","No","No","Yes","Hard"
"Eagles Run","Atlanta","GA","Private",2,33.6987347,-84.3220961,"No","No","No","No","Hard"
"Charlotte Arms Apartments","Detroit","MI","Private",1,41.9297007,-83.3843476,"No","No","No","No","Hard"
"Howard Crossing","Baltimore","MD","Private",2,39.288268,-76.8137455,"No","No","No","No","Hard"
"Hunters Woods","Salt Lake City","UT","Private",1,40.6650471,-111.9069421,"No","No","No","Yes","Hard"
"Porter High School","Houston - Galveston - Brazoria","TX","Public",6,30.1184011,-95.2682367,"No","No","No","No","Hard"
"Barcelona Resort Apartments","Los Angeles","CA","Private",1,33.581599,-117.7172291,"No","No","No","Yes","Hard"
"Weekes Park","San Francisco - Oakland - San Jose","CA","Public",4,37.6351948,-122.0777285,"No","No","No","Yes","Hard"
"San Leandro Racquet Club","San Francisco - Oakland - San Jose","CA","Private",2,37.7129209,-122.1467793,"No","No","No","Yes","Hard"
"Surprise Lake Village","Seattle","WA","Private",1,47.2432016,-122.3015106,"No","No","No","Yes","Hard"
"Encanto Park","San Diego","CA","Public",2,32.7154767,-117.0563114,"No","No","No","Yes","Hard"
"Mesquite High School","Dallas - Fort Worth","TX","Public",6,32.7635859,-96.5945435,"No","No","No","No","Hard"
"Groves Park","Dallas - Fort Worth","TX","Public",2,32.9262298,-96.6764903,"No","No","No","No","Hard"
"Columbia High School","Houston - Galveston - Brazoria","TX","Public",4,29.138293,-95.6495154,"No","No","No","Yes","Hard"
"Woodhollow","Houston - Galveston - Brazoria","TX","Private",1,29.0268201,-95.4394233,"No","No","No","Yes","Hard"
"San De Vance Golf & Tennis","West Palm Beach - Boca Raton","FL","Private",1,26.4090522,-80.0893772,"No","No","No","No","Hard"
"Lucerne Homes East","West Palm Beach - Boca Raton","FL","Private",1,26.6097475,-80.1457787,"No","No","No","No","Hard"
"Trump Plaza","West Palm Beach - Boca Raton","FL","Private",1,26.7085067,-80.0517082,"No","No","No","No","Hard"
"Grande Preserve at Cypress Lakes","Orlando","FL","Private",4,28.5670158,-81.1189806,"No","No","No","No","Hard"
"Stoneybrook","Orlando","FL","Private",4,28.5217301,-81.1765301,"No","No","No","Yes","Hard"
"Powhatan Park","Richmond-Petersburg","VA","Public",2,37.5158107,-77.405215,"Yes","No","No","Yes","Hard"
"Preserve at Fieldstone","Atlanta","GA","Private",12,34.2083064,-84.2238951,"No","No","No","Yes","Hard"
